ackbar,c-3po,1
ackbar,calamari,3
ackbar,chewbacca,1
ackbar,emperor,1
ackbar,gold-leader,1
ackbar,leia,1
ackbar,luke,1
ackbar,madine,1
ackbar,mothma,1
ackbar,nien-nunb,1
ackbar,r2-d2,1
ackbar,rebel-pilot,2
ackbar,wedge,2
assistant-officer,deck-officer,1
assistant-officer,luke,1
aunt-beru,biggs,2
aunt-beru,c-3po,2
aunt-beru,jawa,1
aunt-beru,leia,1
aunt-beru,luke,5
aunt-beru,obi-wan,2
aunt-beru,owen,4
aunt-beru,r2-d2,3
bib,boushh,2
bib,c-3po,5
bib,chewbacca,1
bib,han-solo,3
bib,jabba,6
bib,lando-calrissian,1
bib,leia,2
bib,luke,4
bib,obi-wan,1
bib,oola,2
bib,r2-d2,2
bib,salacious,2
biggs,c-3po,5
biggs,darth-vader,1
biggs,dodonna,5
biggs,fixer,3
biggs,gold-leader,1
biggs,leia,5
biggs,luke,19
biggs,obi-wan,3
biggs,owen,2
biggs,r2-d2,3
biggs,red-leader,5
biggs,red-three,2
biggs,red-two,1
biggs,wedge,5
boushh,c-3po,2
boushh,chewbacca,1
boushh,han-solo,2
boushh,jabba,2
boushh,lando-calrissian,1
boushh,leia,1
boushh,oola,1
c-3po,calamari,1
c-3po,chewbacca,25
c-3po,chirpa,2
c-3po,darth-vader,4
c-3po,deck-officer,1
c-3po,derlin,1
c-3po,dodonna,5
c-3po,emperor,1
c-3po,ev-9d9,1
c-3po,ewok,7
c-3po,gold-five,1
c-3po,gold-leader,1
c-3po,han-solo,7
c-3po,imperial-officer,1
c-3po,jabba,13
c-3po,jawa,3
c-3po,lando-calrissian,5
c-3po,leia,83
c-3po,lieutenant,1
c-3po,logray,2
c-3po,luke,67
c-3po,madine,1
c-3po,mothma,1
c-3po,obi-wan,16
c-3po,oola,2
c-3po,owen,4
c-3po,paploo,2
c-3po,r2-d2,85
c-3po,rancor,1
c-3po,rebel-officer,1
c-3po,red-leader,4
c-3po,rieekan,2
c-3po,salacious,3
c-3po,stormtrooper,3
c-3po,teebo,2
c-3po,tusken-raider,1
c-3po,ugnaught,1
c-3po,wampa,1
c-3po,wedge,5
c-3po,wicket,5
calamari,chewbacca,1
calamari,emperor,1
calamari,gold-leader,1
calamari,leia,1
calamari,luke,1
calamari,madine,1
calamari,mothma,1
calamari,r2-d2,1
calamari,rebel-pilot,1
calamari,wedge,2
chewbacca,chirpa,1
chewbacca,darth-vader,3
chewbacca,dodonna,2
chewbacca,emperor,1
chewbacca,ewok,4
chewbacca,gold-leader,1
chewbacca,greedo,1
chewbacca,han-solo,9
chewbacca,imperial-officer,1
chewbacca,jabba,3
chewbacca,lando-calrissian,3
chewbacca,leia,25
chewbacca,logray,1
chewbacca,luke,26
chewbacca,madine,1
chewbacca,mothma,1
chewbacca,obi-wan,9
chewbacca,oola,1
chewbacca,paploo,1
chewbacca,r2-d2,15
chewbacca,stormtrooper,1
chewbacca,teebo,2
chewbacca,wedge,2
chewbacca,wicket,2
chirpa,darth-vader,1
chirpa,ewok,2
chirpa,leia,2
chirpa,logray,2
chirpa,luke,2
chirpa,r2-d2,2
chirpa,teebo,1
chirpa,wicket,1
darth-vader,dengar,1
darth-vader,emperor,25
darth-vader,ewok,1
darth-vader,gold-leader,1
darth-vader,gold-two,1
darth-vader,han-solo,1
darth-vader,ig-88,1
darth-vader,imperial-officer,5
darth-vader,jabba,1
darth-vader,leia,17
darth-vader,logray,1
darth-vader,luke,49
darth-vader,moff-jerjerrod,1
darth-vader,motti,2
darth-vader,needa,4
darth-vader,obi-wan,17
darth-vader,owen,1
darth-vader,ozzel,2
darth-vader,piett,9
darth-vader,r2-d2,6
darth-vader,rebel-officer,1
darth-vader,red-leader,2
darth-vader,stormtrooper,1
darth-vader,tagge,1
darth-vader,tarkin,9
darth-vader,teebo,1
darth-vader,veers,5
darth-vader,wedge,1
darth-vader,wicket,1
darth-vader,yoda,5
darth-vader,zuckuss,1
deck-officer,han-solo,1
deck-officer,leia,1
deck-officer,luke,2
deck-officer,r2-d2,1
dengar,ig-88,1
dengar,piett,1
dengar,zuckuss,1
derlin,hobbie,1
derlin,leia,2
derlin,lieutenant,1
derlin,luke,1
derlin,r2-d2,1
dodonna,gold-leader,2
dodonna,leia,7
dodonna,luke,5
dodonna,obi-wan,1
dodonna,r2-d2,3
dodonna,red-leader,5
dodonna,red-three,1
dodonna,red-two,1
dodonna,wedge,5
emperor,leia,5
emperor,luke,19
emperor,madine,1
emperor,moff-jerjerrod,1
emperor,mothma,1
emperor,motti,2
emperor,needa,1
emperor,obi-wan,9
emperor,owen,1
emperor,piett,2
emperor,r2-d2,3
emperor,tagge,1
emperor,tarkin,2
emperor,wedge,1
emperor,yoda,3
ev-9d9,r2-d2,1
ewok,leia,7
ewok,logray,2
ewok,luke,3
ewok,paploo,2
ewok,r2-d2,5
ewok,stormtrooper,1
ewok,teebo,2
ewok,wicket,5
fixer,luke,3
fixer,owen,1
gold-five,gold-leader,1
gold-five,leia,1
gold-five,luke,1
gold-five,red-leader,2
gold-leader,leia,3
gold-leader,luke,1
gold-leader,nien-nunb,1
gold-leader,r2-d2,1
gold-leader,rebel-pilot,2
gold-leader,red-leader,3
gold-leader,red-two,1
gold-leader,wedge,6
gold-two,luke,1
greedo,han-solo,2
greedo,jabba,2
han-solo,jabba,6
han-solo,lando-calrissian,1
han-solo,leia,5
han-solo,luke,10
han-solo,obi-wan,3
han-solo,oola,2
han-solo,r2-d2,5
han-solo,salacious,1
hobbie,leia,1
hobbie,luke,2
ig-88,piett,1
ig-88,zuckuss,1
imperial-officer,leia,3
imperial-officer,luke,1
imperial-officer,rebel-officer,1
imperial-officer,tarkin,2
jabba,lando-calrissian,2
jabba,leia,10
jabba,luke,16
jabba,obi-wan,1
jabba,oola,2
jabba,r2-d2,8
jabba,rancor,1
jabba,rieekan,1
jabba,salacious,2
janson,wedge,3
jawa,luke,3
jawa,obi-wan,2
jawa,owen,1
jawa,r2-d2,3
lando-calrissian,leia,3
lando-calrissian,oola,1
lando-calrissian,r2-d2,1
leia,lieutenant,1
leia,logray,2
leia,luke,73
leia,madine,1
leia,mothma,1
leia,motti,1
leia,obi-wan,11
leia,owen,1
leia,paploo,2
leia,r2-d2,45
leia,rancor,1
leia,rebel-officer,1
leia,red-leader,7
leia,rieekan,6
leia,salacious,2
leia,stormtrooper,6
leia,tarkin,2
leia,teebo,1
leia,wampa,1
leia,wedge,7
leia,wicket,6
leia,willard,1
leia,yoda,3
lieutenant,luke,1
lieutenant,r2-d2,1
logray,luke,2
logray,r2-d2,2
logray,teebo,1
logray,wicket,1
luke,madine,1
luke,mothma,1
luke,obi-wan,53
luke,oola,1
luke,owen,10
luke,ozzel,1
luke,piett,2
luke,r2-d2,74
luke,rancor,2
luke,rebel-officer,1
luke,red-leader,11
luke,red-six,1
luke,red-two,1
luke,rieekan,3
luke,salacious,2
luke,stormtrooper,4
luke,teebo,2
luke,tusken-raider,1
luke,veers,3
luke,wampa,2
luke,wedge,14
luke,wicket,1
luke,yoda,10
luke,zev,3
madine,mothma,1
madine,r2-d2,1
madine,wedge,1
mothma,r2-d2,1
mothma,wedge,1
motti,tagge,1
motti,tarkin,2
needa,piett,2
needa,veers,1
nien-nunb,red-leader,1
nien-nunb,red-three,1
nien-nunb,red-two,1
nien-nunb,wedge,2
obi-wan,owen,4
obi-wan,r2-d2,20
obi-wan,red-leader,1
obi-wan,stormtrooper,3
obi-wan,tarkin,1
obi-wan,yoda,6
