0	0	0	0	0	0	1	3	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	5	0	0	0	0	0	0	2	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	2	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	6	0	0	1	2	0	0	4	0	0	0	0	0	0	1	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	2	0	0	0	5	0	0	0	1	0	0	0	5	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	5	0	0	19	0	0	0	0	0	0	3	0	2	0	0	0	0	3	0	0	0	5	0	2	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	
0	0	0	2	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1	0	2	5	5	2	0	1	25	2	4	1	0	1	5	1	1	7	0	1	1	0	0	7	0	0	1	13	0	3	5	83	1	2	67	1	0	1	0	0	0	16	2	4	0	2	0	0	85	1	1	0	4	0	0	0	2	3	3	0	0	2	1	1	0	1	5	5	0	0	0	0	
3	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	
1	0	0	1	0	1	25	1	0	1	3	0	0	0	2	1	0	4	0	0	1	0	1	9	0	0	1	3	0	0	3	25	0	1	26	1	0	1	0	0	0	9	1	0	0	1	0	0	15	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	2	2	0	0	0	0	
0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	
0	0	0	0	1	0	4	0	3	1	0	0	1	0	0	25	0	1	0	0	1	1	0	1	0	1	5	1	0	0	0	17	0	1	49	0	1	0	2	4	0	17	0	1	2	0	9	0	6	0	1	0	2	0	0	0	0	0	1	1	9	1	0	0	5	0	1	1	0	5	0	1	
0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
